Key,English,Indonesian
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,Kumpulkan Twinke Stone dengan berburu Aibatt.
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,Kirimkan ke Magician Instructor Lopaze.
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,Kirimkan ke Acrobat Instructor Tailer.
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,Singkirkan Ren dari Iblis Temple yang terletak di bagian selatan Saint Morning.
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,Singkirkan Sisif dan temukan Soulstone of Hero.
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,Singkirkan Venel Guardian dan temukan Venel Heart.
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,Singkirkan Rubo dan temukan Letter of Hynan.
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,Singkirkan Prankster dan temukan History Book of Heroes.
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,Kirimkan Earring of Heren ke Ata.
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,Singkirkan Shacalpion dan temukan Tear of Darkness.
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,Singkirkan Kidler dan temukan Clue of Golden Helmet.
QUEST_DESTINATION_0018,Meet Kurumin.,Bertemu Kurumin.
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,Kalahkan wheelem dan dapatkan batu jiwa.
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,Kalahkan hoaren dan dapatkan Hall Document.
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),Kalahkan steam walker dan dapatkan poster of skill(Master)
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,Temui Segho dan berikan dia Hall Document.
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,Kalahkan Ren dan dapatkan Seal of Aenn.
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,Temui Tesar dan berikan dia Seal of Aenn.
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,Kalahkan hunter X dan dapatkan Teardrop of Aenn.
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,Kalahkan kinsay dan dapatkan Magic Underwear of Power.
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.","Temui Rufan, bos bendera biru dan berikan Magic Underwear of Power."
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.","Temui Parinee, pengelola stasiun Saint City dan berikan Feather of Magic Power."
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,Bawa ke walikota Darkon.
QUEST_DESTINATION_0032,Defeat Organiger.,Kalahkan Organiger.
QUEST_DESTINATION_0033,Defeat Gangard.,Kalahkan Gangard.
QUEST_DESTINATION_0034,Defeat Hardeser.,Kalahkan Hardeser.
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,Kalahkan kelompok Mia dan dapatkan Mia Report.
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,Bertemu walikota Saint City.
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,Kalahkan pemimpin red bang Theives.
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,Kalahkan red bang Theives dan dapatkan simbol theives.
QUEST_DESTINATION_0039,Kill Lord Bang and obtain necklace.,Bunuh Lord Bang dan dapatkan kalung.
QUEST_DESTINATION_0040,Hand it to Strange Collector,Serahkan ke Strange Collector
