Key,English,Indonesian
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,Permohonan untuk $QUEST_END_ITEM_NAME$s telah keluar. Apakah kamu akan menerima quest ini?
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,Permohonan untuk Grrr Bandages telah keluar.
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,Permohonan untuk Amperes telah keluar.
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,Permohonan telah keluar untuk membuat penawar Boopoison. Maukah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,Permohonan telah keluar untuk $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,Permohonan telah keluar untuk menggunakan Rootioe sebagai bahan bahan kerajinan kayu. Maukah kamu membantu?
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,Kamu bisa mendapatkan $QUEST_END_ITEM_NAME$ dari berbagai tipe $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,Kamu bisa mengumpulkan $QUEST_END_ITEM_NAME$ dari semua tipe $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,Kamu bisa mengumpulkan $QUEST_END_ITEM_NAME$ dekat jembatan di utara.
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,Anda dapat mengumpulkan Unknowns Certificates di dekat Bangs.
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,Kamu bisa mengumpulkan Nyannyang didekat Giant Nyangnyang
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,Kamu bisa mengumpulkan Dokumen Kantor di dekat Mia
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,Kamu tidak ingin mengumpulkannya? Oke
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,Kamu butuh lebih banyak $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,Kamu tidak memiliki cukup $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,Bagus sekali. Kamu telah berhasil menyelesaikan quest.
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,Kerja baik! Kamu berhasil menyelesaikan quest. Ambil ini untuk ini untuk bayaran jerih payahmu.
