Key,English,French
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,Obtenir de pierres brillantes en chassant les aibatts. 
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,Livrer-le à l'[Instructrice des Magiciens] Lopaze.
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,Livrez-le à l'[Instructrice des Acrobates] Tailer.
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,Tuer Ren au temple d'Ivillis au sud de Saint Morning.
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,Tuer Sisif et trouver la Pierre des Héros.
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,Vaincre Venel et ramener son cœur.
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,Vaincre Rubo et récupérez la lettre de Hynan.
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,Vaincre les pranksters récupérer l'histoire des héros.
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,Apporter la boucle d'oreille de Heren à Ata.
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,Vaincre Scorpic et récupérer la larme du sorcier.
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,Vaincre Kidler et retrouver le Heaume de Billein.
QUEST_DESTINATION_0018,Meet Kurumin.,Rencontrez Kurmin.
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,Vaincre Cicipue et récupérer la pierre des héros.
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,Retrouver le document du Hall.
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),Vaincre les steamwalkers et récupérer les Cieux de Madrigal.
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,Apporter les documents du hall à Segho.
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,Vaincre Ren et récupérer le sceau d'Aenn.
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,Apporter le sceau d'Aenn à Tesar.
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,Vaincre hunter X et récupérer la larme d'Aenn.
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,Vaincre Kynsy et récupèrer la tunique d'Offerep.
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.",Apporter la tunique d'Offerep à Ryupang.
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.",Apporter la plume de Lillip à Parine à Saincity.
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,Apportez ça au maire de Darkon.
QUEST_DESTINATION_0032,Defeat Organiger.,Vaincre les organigors.
QUEST_DESTINATION_0033,Defeat Gangard.,Vaincre les gangards.
QUEST_DESTINATION_0034,Defeat Hardeser.,Vaincre les hadeseors.
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,Vaincre les Mia et obtenir.
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,Rencontrez le Maire de Saincity.
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,Vaincre le chef des voleurs.
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,Vaincre les voleurs et récupérer le symbole des big bang.
QUEST_DESTINATION_0039,Kill Lord Bang and obtain necklace.,Vaincre Lord Bang Nayonah et récupérer le collier de Lord Bang.
QUEST_DESTINATION_0040,Hand it to Strange Collector,Apporter ça au collectionneur mystérieux à la station de vol de Saincity.
QUEST_DESTINATION_0042,Look for an egg after killing Red Mantis C,Vaincre les jeunes mantis et récupérez un œuf de jeune mantis.
QUEST_DESTINATION_0043,Bring it to Dr. Estern,Apporter ça à Dr. Estern.
QUEST_DESTINATION_0044,Bring it to Dr. Estly,Apporter ça à Dr. Estly.
QUEST_DESTINATION_0045,Please give it to Mayor in Darkon,Donner-le au maire de Darkon.
QUEST_DESTINATION_0056,Bring it to Chairman of History Society Gothante.,Apoprter ça à l'[Historien] Gothante.
QUEST_DESTINATION_0057,Bring it to Manager of Ancient Document Rovanett,Apporter ça à la [conservatrice] Rovanett.
QUEST_DESTINATION_0058,Bring it to Great Magician Laola,Apporter ça à l'[Archimage] Laola.
QUEST_DESTINATION_0059,Bring it to Historian Martinyc,Apporter ça à l'[Historienne] Martinyc.
QUEST_DESTINATION_0060,Bring it to Mercenary Instructor Hyuit,Apporter ça à l'[Instructrice des Mercenaires] Hyuit
QUEST_DESTINATION_0061,Kill Small Mushpang,Tuer les jeunes Mushpang.
QUEST_DESTINATION_0062,Bring it to Assist Instructor Kidmen,Apporter ça à l'[Instructrice des Acolytes] Kidmen.
QUEST_DESTINATION_0063,Bring it to Hachal in Flarine,Apporter ça à Hachal à Flarine
QUEST_DESTINATION_0064,Bring it to Hachal in Darkon,Apporter ça à Hachal à Darkon
QUEST_DESTINATION_0066,Receive mail from Rankashu who is standing in front of Dekane Mine,Récupérez le courrier de Rankashu qui se tient devant la Mine de Dekanes
QUEST_DESTINATION_0067,Drian exists in the first room,Drian est dans la première salle.
QUEST_DESTINATION_0068,Kill keakoon in the third room and obtain key.,Chasser les Keakoons et collecter les 3 fragments de la clé.
QUEST_DESTINATION_0069,Move to the third room and check a cell where Nevil is locked.,Vérifier où Nevil est enfermé.
QUEST_DESTINATION_0070,Kill Elite Keakoon Guard Leaders in the third room.,Tuer des Keakoons d'élite dans la 3ème salle.
QUEST_DESTINATION_0071,Talk with Nevin in prison,"Parlez à Nevil, le père de Drian, pour vous assurer qu'il va bien."
QUEST_DESTINATION_0072,Break Roach egg in fifth room and obtain 15 Pink Roach Fluids,Brisez des œufs de tyroglyphes et récupérez 15 fluides de tyroglyphes roses
QUEST_DESTINATION_0073,Break Roach egg in fourth room and obtain 15 Blue Roach Fluids,Brisez des œufs de tyroglyphes et récupérez 15 fluides de tyroglyphes bleus
QUEST_DESTINATION_0074,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid
QUEST_DESTINATION_0075,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid
QUEST_DESTINATION_0076,Obtain 30 Cillins nearby,Ramasser 30 Cillins dans la mine.
QUEST_DESTINATION_0077,Meet Kazen,Parler à Kazen.
QUEST_DESTINATION_0078,Move to where Kazen is and kill Green Trillipy. Then obtain 30 Ribenuums,Tuez des trillipys verdâtres et récupérez 30 ribenuums 
QUEST_DESTINATION_0079,You can find Nein in Dead Waldernis of Darkon 3 and do 'Finding Tridum'. Then collect 10 Ribenuums,Demander à Nein de purifier 10 ribenuums. Il habite à Désolation à Darkon 3
QUEST_DESTINATION_0080,"Speak with Cell in Darkon 1 and do 'Trace of ID card'. After getting a key, you can obtain 20 Tridum.",Parler à Cell à Darkon 1.
QUEST_DESTINATION_0081,Bring Ribenuum to Nein,Apporter le ribenuum à Nein.
QUEST_DESTINATION_0082,You can see Mutant Fefern and Mutant Nyangnyang Queen nearby.,Vous trouverez des feferns mutants et des nyangnyang mutants dans les environs.
QUEST_DESTINATION_0083,Kill Vice Veduque living in the last room of Mars dungeon.,Tuer un Wormveduque au fond de la Mine de Mas.
QUEST_DESTINATION_0084,It exists in Iblis and revelation can be found in the last room on left.,Vous trouverez des indices dans la dernière salle à gauche.
QUEST_DESTINATION_0085,Kill 8 Iblis Crashers in the Iblis Temple.,Tuez 8 Crasher d'Ivilis dans le Temple d'Ivilis.
QUEST_DESTINATION_0086,Kill an Iblis Guardian in the Iblis Temple.,Tuez 1 Gardien d'Ivilis dans le Temple d'Ivilis.
QUEST_DESTINATION_0087,Obtain the Pattern by Killing an Iblis Guardian.,Tuer un Gardien d'Ivilis et obtenir son symbole.
QUEST_DESTINATION_0091,Please purchase a Long Sword from [Shield] Luda.,Acheter une épée au PNJ Luda.
QUEST_DESTINATION_0093,"After speaking with Drian, obtain a pouch.",Parler à Drian.
QUEST_DESTINATION_0094,A group of Organigor exists nearby.,Il y a des Organigor dans les environs.
QUEST_DESTINATION_0095,A group of Gangard exists nearby.,Il y a des Gangard dans les environs.
QUEST_DESTINATION_0096,A group of Hadeseor exists nearby.,Il y a des Hadeseor dans les environs.
QUEST_DESTINATION_1000,Radion gave you this Fragment of Memories.,Radion vous a donné ce Fragment de Souvenir.
QUEST_DESTINATION_1001,Reodos gave you this Elemental Hero's Pendant.,Reodos vous a donné ce Pendentif du Héros Élémentaire.
QUEST_DESTINATION_1002,Zoro gave you this letter.,Zoro vous a donné cette lettre.
QUEST_DESTINATION_1003,Bring this Letter to Zoro.,Apportez cette Lettre à Zoro.
QUEST_DESTINATION_1004,You got this Promise Ring from the Garbagespiders.,Vous avez reçu cet Anneau de Promesse des Garpagespiders.
