Key,English,French
UI_EVENT_EXPBOOST,Exp Boost!,Boost d'Exp !
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,Amélioration d'Accessoire !
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,Perçage d'Arme !
UI_EVENT_PARTYEXPBOOST,Party Exp Boost!,Boost d'Exp de Groupe !
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,Trouvez l'Aibatt Doré !
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,Tuez les Aibatt dorés dans les donjons pour obtenir des bonus !
UI_EVENT_NIGHTBOOST,Night Boost!,Boost de Nuit!
UI_EVENT_NIGHTBOOST_DESC,+30% Exp when it's night in game!,30% d'Expérience en plus quand c'est la nuit en jeu !
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 Exp!!,C'est la nuit ! Expérience x1.3 !
UI_EVENT_NIGHTBOOST_DAY,"Sun is here, x1.3 Exp is over...","Le soleil est levé, expérience x1.3 est terminé..."
UI_EVENT_EASTER,Easter Event,Evénement de Pâques
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,Complétez la Prairie Oeufissime pour obtenir des Oeufs de Pâques Roses !
UI_EVENT_SPRING,Spring Event!,Evénement du Printemps !
UI_EVENT_DIAMONDINTHESKY,Diamond in the sky,Diamant dans le ciel
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,Détruisez les étoiles dans le ciel nocturne pour obtenir des Fragments d'Etoiles !
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out.. Find them in the sky!,La nuit est tombée ! Les étoiles sortent... Trouvez-les dans le ciel !
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.","La nuit est passée, les étoiles disparaissent."
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,Promotion Jetons de Donjon !
