Key,English,Polish
UI_EVENT_EXPBOOST,Exp Boost!,Wzmocnienie Doświadczenia!
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,Ulepszanie Akcesoriów!
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,Przebijanie Broni!
UI_EVENT_PARTYEXPBOOST,Party Exp Boost!,Wzmocnienie Doświadczenia Drużyny!
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,Znajdź Złotego Aibatta!
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,Zabij Złotego Aibatta w podziemiach i zdobądź bonus dropu!
UI_EVENT_NIGHTBOOST,Night Boost!,Wzmocnienie Nocy!
UI_EVENT_NIGHTBOOST_DESC,+30% Exp when it's night in game!,+30% Doświadczenia gdy jest noc w grze!
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 Exp!!,"To noc! x1,3 Doświadczenia!!"
UI_EVENT_NIGHTBOOST_DAY,"Sun is here, x1.3 Exp is over...","Słońce jest tutaj, x1,3 Doświadczenia skończyło się..."
UI_EVENT_EASTER,Easter Event,Impreza Wielkanocna
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,"Ukończ Łąkę Eggcellent, aby uzyskać różowe Jaja Wielkanocne!"
UI_EVENT_SPRING,Spring Event!,Impreza Wiosny!
UI_EVENT_DIAMONDINTHESKY,Diamond in the sky,Diament na niebie
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,"Zniszcz gwiazdy na nocnym niebie, aby uzyskać fragmenty gwiazd!"
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out.. Find them in the sky!,Noc nadeszła! Gwiazdy wychodzą.. Znajdź je na niebie!
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.","Noc minęła, gwiazdy znikają."
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,Rabat na Monety Podziemia!
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,Wydaj mniej Monet Podziemia przy podejmowaniu misji lub wchodzeniu do podziem!
UI_EVENT_ANNIVERSARY,1 Year Anniversary!,1. Rocznica!
UI_EVENT_ANNIVERSARY_DESC,FlyFF Universe is turning 1! A huge thank you to all of our players who made this milestone possible!,"FlyFF Universe kończy 1 rok! Ogromne podziękowania wszystkim naszym graczom, którzy sprawili to możliwym!"
UI_EVENT_ANNIVERSARY_ATTENDANCE,1 Year Anniversary Attendance,Uczestnictwo 1. Rocznicy
UI_EVENT_ANNIVERSARY_ATTENDANCE_DESC,Login each day for 40 minutes and receive rewards!,Loguj się każdego dnia przez 40 minut i otrzymuj nagrody!
UI_EVENT_FWC,Flyff World Championship,Mistrzostwa Świata FlyFF
UI_EVENT_FWC_LEVELREACH,FWC Level Reach,Osiągnięcie Poziomu FWC
UI_EVENT_FWC_LEVELREACH_DESC,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!
UI_EVENT_FWC_GEAREXCHANGE_DESC,Exchange FWC Gear at the [FWC Manager] Ava to get more rewards!,Exchange FWC Gear at the [FWC Manager] Ava to get more rewards!
UI_EVENT_FWC_DESC,"The #bFlyff World Championship#nb is a global competition held until September 7th, 2023. Join this server with boosted Exp and Drops and attempt to win exceptional prizes!","The #bFlyff World Championship#nb is a global competition held until September 7th, 2023. Join this server with boosted Exp and Drops and attempt to win exceptional prizes!"
UI_EVENT_MOCOMOCHI,Mocomochi!,Mocomochi!
UI_EVENT_UPGRADING,Upgrading!,Upgrading!
UI_EVENT_LUCKYCAPSULE,Lucky Draw!,Lucky Draw!
UI_EVENT_LUCKYCAPSULE_DESC,Earn coins by defeating monsters or completing quests for the Gacha Machine NPC and receive exceptional rewards!,Earn coins by defeating monsters or completing quests for the Gacha Machine NPC and receive exceptional rewards!
UI_EVENT_DROPBOOST,Drop Boost!,Drop Boost!
UI_EVENT_SUITPIERCING,Suit Piercing!,Suit Piercing!
UI_EVENT_MUSICFESTIVAL,Flyff Music Festival!,Flyff Music Festival!
UI_EVENT_MUSICFESTIVAL_DESC,Collect Music Notes and Music Score Scrolls from monsters and exchange them to NPC Bach,Collect Music Notes and Music Score Scrolls from monsters and exchange them to NPC Bach
UI_EVENT_EXPBOOST_DESC_30,+30% Experience!,+30% Experience!
UI_EVENT_PARTYEXPBOOST_DESC_30,+30% Party Experience!,+30% Party Experience!
UI_EVENT_SECRETBOOST,Secret boost!,Secret boost!
UI_EVENT_RESCUE,Rescue Private Leo!,Rescue Private Leo!
UI_EVENT_STONERAIN,Stone Rain!,Stone Rain!
UI_EVENT_STONERAIN_DESC,Drop upgrade stones pieces!,Drop upgrade stones pieces!
UI_EVENT_LUCKYRPS,Lucky RPS Event,Lucky RPS Event
UI_EVENT_SERVICEMIGRATION,September Connect,September Connect
UI_EVENT_SURVEY,Player Survey! Aim for special rewards!,Player Survey! Aim for special rewards!
UI_EVENT_SURVEY_DESC,Visit https://linktr.ee/flyffuniverse,Visit https://linktr.ee/flyffuniverse
UI_EVENT_OKTOBERFEST,Oktoberfest!,Oktoberfest!
UI_EVENT_TIME_TO_HUNT,Time to Hunt,Time to Hunt
