Key,English,Filipino
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,May inilabas na kahilingan para sa $QUEST_END_ITEM_NAME$s. Tatanggapin mo ba ang quest na ito?
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,May inilabas na kahilingan para sa Grrr Bandages.
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,May inilabas na kahilingan para sa Amperes.
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,May inilabas na kahilingan para sa Boopoison para makagawa ng antidote. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,May inilabas na kahilingan para sa $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,May inilabas na kahilingan para sa Rootioe para gamitin bilang materyal sa pagawaan ng kahoy. Tutulungan mo ba?
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,Makukuha mo ang $QUEST_END_ITEM_NAME$ mula sa anumang uri ng $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,Maaari mong kolektahin ang $QUEST_END_ITEM_NAME$ mula sa lahat ng uri ng $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,Maaari mong kolektahin ang $QUEST_END_ITEM_NAME$ malapit sa isang tulay sa hilaga.
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,Maaari kang makakuha ng Unknown Certificates malapit sa Bangs.
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,Maaari kang makakuha ng nyanyang malapit sa Giant Nyangnyang.
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,Maaari mong kolektahin ang mga office documents malapit sa Mias.
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,Ayaw mo bang kolektahin ang mga ito? Sige lang.
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,Kailangan mo pa ng $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,Wala kang sapat na $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,Magaling. Matagumpay mong natapos ang quest.
