Key,English,Indonesian
PROPQUEST_SCENARIO_INC_000299,Prologue,Prologue
PROPQUEST_SCENARIO_INC_000304,Questioning,Questioning
PROPQUEST_SCENARIO_INC_000305,"Hmm... What should I do? Hey, can you help me?","Hmm.. Apa yang harus kulakukan? Hei, bisakah bantu aku?"
PROPQUEST_SCENARIO_INC_000306,"I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to.","Sejak lama aku khawatir, aku tahu kalau aku mungkin terlihat berantakan. Rasanya nyaman sekali ada teman yang mau mendengarkanku."
PROPQUEST_SCENARIO_INC_000307,"I am studying recent history, but it is really hard. So would you please help me? Please?",Aku kesulitan saat mempelajari sejarah. Maukah kamu membantuku? Kumohon?
PROPQUEST_SCENARIO_INC_000308,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.,"Sungguh? Wow, terima kasih banyak! Tolong pergi ke kantor dan serahkan aplikasi beasiswaku. Terima kasih."
PROPQUEST_SCENARIO_INC_000309,What? Awww I knew it was too good to be true.,"Apa? Awww, sudah kuduga itu hanya mimpi."
PROPQUEST_SCENARIO_INC_000310,"Oh, it seems like Martinyc is too busy to deliver her own applications.","Oh, sepertinya Martinyc terlalu sibuk untuk menyerahkan aplikasinya sendiri."
PROPQUEST_SCENARIO_INC_000311,May I help you? You want to fill out an application? The form is on the right side of the office.,"Ada yang bisa kubantu? Oh, Anda ingin mengisi aplikasi? Formulirnya bisa anda dapatkan di sisi kanan kantor."
PROPQUEST_SCENARIO_INC_000312,Go to the office and deliver a scholarship application to the Mayor.,Pergilah ke kantor dan serahkan aplikasi beasiswa kepada Mayor.
PROPQUEST_SCENARIO_INC_000314,Cracked Continent,Cracked Continent
PROPQUEST_SCENARIO_INC_000315,"Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted.","Terima kasih banyak atas bantuanmu! Karenamu, aku sekarang memiliki cukup uang untuk melanjutkan study tentang sejarah. Omong-omong, sepertinya banyak sejarah tentang Madrigal yang terdistorsi."
PROPQUEST_SCENARIO_INC_000316,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.,Aku telah mempelajari sejarah Madrigal selain dari History Society dan tampaknya mereka tidak ingin mengoreksi sejarah yang terdistorsi dalam buku-buku ini.
PROPQUEST_SCENARIO_INC_000317,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.,Pernah suatu hari aku hampir dibunuh oleh pemberontak Blades. Tapi aku tidak bisa berhenti sekarang. Tidak peduli apa yang diinginkan oleh History Society.
PROPQUEST_SCENARIO_INC_000318,"I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however.","I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however."
PROPQUEST_SCENARIO_INC_000319,Will you help me regardless of the danger?,Maukah kamu membantuku terlepas dari bahayanya?
PROPQUEST_SCENARIO_INC_000320,"I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these.","Aku tahu kamu pasti mau! Pertama, bawakan aku 5 batu dari masing-masing 3 benua. Setiap benua memiliki Altar, bawakan aku batu dari masing-masingnya."
